"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (EUR)","CPM (cost per 1,000 impressions) (EUR)",Impressions,"3-second video plays","Clicks (all)","CTR (link click-through rate)","CPC (cost per link click) (EUR)","Adds to cart","Website adds to cart","Cost per add to cart (EUR)","Checkouts initiated","Website checkouts initiated","Cost per checkout initiated (EUR)",Purchases,"Website purchases","Cost per purchase (EUR)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value"
2025-10-22,2025-10-22,"[TEST] Jimmy - Green Screen Effect Template - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,15.14,178.117647,85,19,0,,,,,,,,,,,,,,,
2025-10-22,2025-10-22,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,2.7,128.571429,21,4,0,,,,,,,,,,,,,,,
2025-10-22,2025-10-22,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,24.15,188.671875,128,42,2,2.34375,8.05,,,,,,,,,,,,,
2025-10-22,2025-10-22,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,1.53,109.285714,14,3,0,,,,,,,,,,,,,,,
2025-10-21,2025-10-21,"[TEST] Jimmy - Green Screen Effect Template - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,15.67,130.583333,120,30,6,5,2.611667,,,,,,,,,,,,,
2025-10-21,2025-10-21,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,11.16,485.217391,23,5,1,4.347826,11.16,,,,,,,,,,,,,
2025-10-21,2025-10-21,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,28.98,258.75,112,36,1,0.892857,28.98,,,,,,,,,,,,,
2025-10-21,2025-10-21,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,3.32,118.571429,28,4,0,,,,,,,,,,,,,,,
2025-10-20,2025-10-20,"[TEST] Jimmy - Green Screen Effect Template - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,35.53,136.130268,261,66,4,1.532567,8.8825,,,,,,,,,,,,,
2025-10-20,2025-10-20,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,4.67,245.789474,19,7,3,10.526316,2.335,,,,,,,,,,,,,
2025-10-20,2025-10-20,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,14.64,311.489362,47,21,1,2.12766,14.64,1,1,14.64,1,1,14.64,1,1,14.64,3.235656,3.235656,47.37,47.37
2025-10-20,2025-10-20,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,0.53,88.333333,6,,0,,,,,,,,,,,,,,,
2025-10-19,2025-10-19,"[TEST] Jimmy - Green Screen Effect Template - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,5.46,105,52,10,0,,,,,,,,,,,,,,,
2025-10-19,2025-10-19,"[TEST] Keith - DynamicGreenScreenEffect - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,41.68,134.886731,309,70,8,2.588997,5.21,1,1,41.68,,,,,,,,,,
2025-10-19,2025-10-19,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,4.45,278.125,16,5,0,,,,,,,,,,,,,,,
2025-10-19,2025-10-19,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,6.17,116.415094,53,15,2,1.886792,6.17,,,,,,,,,,,,,
2025-10-19,2025-10-19,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,0.23,38.333333,6,1,0,,,,,,,,,,,,,,,
2025-10-18,2025-10-18,"[TEST] Keith - DynamicGreenScreenEffect - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,23.06,131.022727,176,31,3,1.704545,7.686667,,,,,,,,,,,,,
2025-10-18,2025-10-18,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,9.91,1101.111111,9,2,0,,,,,,,,,,,,,,,
2025-10-18,2025-10-18,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,11.66,138.809524,84,22,1,1.190476,11.66,,,,,,,,,,,,,
2025-10-18,2025-10-18,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,0.7,41.176471,17,3,0,,,,,,,,,,,,,,,
2025-10-17,2025-10-17,"[TEST] Keith - DynamicGreenScreenEffect - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,7.96,87.472527,91,29,12,15.384615,0.568571,,,,,,,,,,,,,
2025-10-17,2025-10-17,"[TEST] Ace - DynamicGreenScreenEffect - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,31.35,211.824324,148,57,5,2.702703,7.8375,,,,,,,,,,,,,
2025-10-17,2025-10-17,"[TEST] Jimmy - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,2.41,482,5,1,1,20,2.41,,,,,,,,,,,,,
2025-10-17,2025-10-17,"[TEST] Keith - DynamicGreenScreenEffect - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,9.15,140.769231,65,16,2,3.076923,4.575,,,,,,,,,,,,,
2025-10-17,2025-10-17,"[TEST] Ty - Green Screen Effect Template - Benefits","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",active,50,Daily,1.08,60,18,3,1,5.555556,1.08,,,,,,,,,,,,,
2025-10-16,2025-10-16,"[TEST] Ace - DynamicGreenScreenEffect - Premium Feeling Hook","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,1.88,156.666667,12,5,1,8.333333,1.88,,,,,,,,,,,,,
2025-10-16,2025-10-16,"[TEST] Ty - Green Screen Effect Template - ProductHighlights","[TEST] Brava — ABO — US Men","[TEST] Broad — US Men",inactive,50,Daily,33.36,81.167883,411,101,7,1.216545,6.672,,,,,,,,,,,,,
