id;ad_id;lifecycle_id;metric_name;metric_value;timestamp;window_type;stage;created_at;metadata;window_size;anomalies_detected;seasonality_detected;time_period;timestamps;values;trend_direction
0003ac98-da57-42e3-bac1-177ef5e2375f;120232965433110160;lifecycle_120232965433110160;roas;0.0000;2025-10-27 15:44:15+00;;validation;2025-10-27 14:44:15.16943+00;{};1h;false;false;1d;[];[];stable
00058f5c-9de1-4951-b70a-7efaa8ecf70e;120232965437600160;lifecycle_120232965437600160;ctr;1.3793;2025-10-26 02:46:57.593227+00;;validation;2025-10-26 00:46:57.704031+00;"{""clicks"":2,""impressions"":145}";1h;false;false;1d;[];[];stable
00074613-69ac-4a87-a5e4-98cd28078bd7;120232965433110160;lifecycle_120232965433110160;cpa;0.0000;2025-10-28 19:06:07+00;;validation;2025-10-28 18:06:07.692761+00;{};1h;false;false;1d;[];[];stable
0007857a-98de-4dfa-b343-485e478346ba;120232965425640160;lifecycle_120232965425640160;cpc;0.0000;2025-10-25 20:05:14.733106+00;;scaling;2025-10-25 18:05:14.8215+00;"{""clicks"":0,""impressions"":16}";1h;false;false;1d;[];[];stable
000a436c-6e1d-485e-90f0-d341bc52bd7f;120232056896520160;lifecycle_120232056896520160;cpm;347.5000;2025-10-25 18:07:06.05334+00;;validation;2025-10-25 16:07:06.18417+00;"{""clicks"":2,""impressions"":4}";1h;false;false;1d;[];[];stable
000d44bd-c912-40d0-ab22-ee0b9d571af9;120232965440920160;lifecycle_120232965440920160;cpa;0.0000;2025-10-27 08:40:23.389071+00;;validation;2025-10-27 07:40:23.482417+00;"{""clicks"":0,""impressions"":3}";1h;false;false;1d;[];[];stable
000d5358-f95a-4e67-a5e0-9990d5e28af2;120232965440920160;lifecycle_120232965440920160;cpc;1.7300;2025-10-25 22:05:24.223942+00;;validation;2025-10-25 20:05:24.306576+00;"{""clicks"":1,""impressions"":6}";1h;false;false;1d;[];[];stable
00107c51-67cb-46b5-b4b3-d8ca1b7c0423;120232215972100160;lifecycle_120232215972100160;cpa;0.0000;2025-10-25 19:36:54.640197+00;;scaling;2025-10-25 17:36:54.718959+00;"{""clicks"":0,""impressions"":114}";1h;false;false;1d;[];[];stable
00164751-248c-413d-846e-f7e1e98aacc5;120233129307020160;lifecycle_120233129307020160;purchases;0.0000;2025-10-28 17:52:08+00;;validation;2025-10-28 16:52:08.78009+00;{};1h;false;false;1d;[];[];stable
001896a2-ca87-4b20-baef-5571ac48aa04;120232215972100160;lifecycle_120232215972100160;ctr;0.0000;2025-10-26 16:36:39.756645+00;;scaling;2025-10-26 15:36:39.853668+00;"{""clicks"":0,""impressions"":54}";1h;false;false;1d;[];[];stable
001e0358-7011-44dc-8bb4-c85fab4e8f37;120232965425640160;lifecycle_120232965425640160;roas;0.0000;2025-10-25 18:53:20.096422+00;;validation;2025-10-25 16:53:20.227055+00;"{""clicks"":0,""impressions"":16}";1h;false;false;1d;[];[];stable
0022515d-d70b-42f4-b23b-fcf0c64f9d54;120232215972100160;lifecycle_120232215972100160;cpc;3.9400;2025-10-28 19:52:50+00;;validation;2025-10-28 18:52:51.028052+00;{};1h;false;false;1d;[];[];stable
0031e421-2933-4611-b63b-8bd33ff77716;120232215972100160;lifecycle_120232215972100160;cpa;0.0000;2025-10-28 08:41:09+00;;scaling;2025-10-28 07:41:10.150847+00;{};1h;false;false;1d;[];[];stable
00329801-909d-464a-9065-b7f1f69ea856;120232965440920160;lifecycle_120232965440920160;ctr;0.0000;2025-10-25 19:05:37.11225+00;;scaling;2025-10-25 17:05:37.196045+00;"{""clicks"":0,""impressions"":3}";1h;false;false;1d;[];[];stable
0036aa77-f176-4b79-9c14-9a5479a36603;120232965433110160;lifecycle_120232965433110160;roas;0.0000;2025-10-26 17:45:38.537902+00;;validation;2025-10-26 16:45:38.682755+00;"{""clicks"":0,""impressions"":16}";1h;false;false;1d;[];[];stable
00426214-4eaa-467f-89b9-580fff0819a0;120232965429540160;lifecycle_120232965429540160;purchases;0.0000;2025-10-27 21:06:01+00;;validation;2025-10-27 20:06:01.489224+00;{};1h;false;false;1d;[];[];stable
00440023-8d7d-4bb4-ae44-90597bbf6ded;120232965423280160;lifecycle_120232965423280160;cpm;0.0000;2025-10-27 23:50:44+00;;validation;2025-10-27 22:50:44.881747+00;{};1h;false;false;1d;[];[];stable
0048956c-3306-4796-9bf5-04d39ace6465;120232965440920160;lifecycle_120232965440920160;cpc;0.0000;2025-10-28 11:06:01+00;;validation;2025-10-28 10:06:01.912789+00;{};1h;false;false;1d;[];[];stable
005481bb-e91b-41c0-b3e5-b60809ece990;120232965440920160;lifecycle_120232965440920160;ctr;0.0000;2025-10-26 21:36:07.095508+00;;scaling;2025-10-26 20:36:07.204803+00;"{""clicks"":0,""impressions"":37}";1h;false;false;1d;[];[];stable
0055c55b-b67a-4cf8-8e8b-da217f3f91c4;120232965425640160;lifecycle_120232965425640160;cpc;3.3167;2025-10-26 19:07:57.406104+00;;validation;2025-10-26 18:07:57.517622+00;"{""clicks"":3,""impressions"":59}";1h;false;false;1d;[];[];stable
005c42ed-17b8-49ea-8a11-c7114bf6b11d;120232965425640160;lifecycle_120232965425640160;cpc;0.0000;2025-10-27 12:49:05+00;;scaling;2025-10-27 11:49:06.086696+00;{};1h;false;false;1d;[];[];stable
